"Name","ExternalId","Test Type","Date","Time","BW [KG]","Reps","Tags","Additional Load [kg]","Athlete Standing Weight [kg] ","Jump Height (Imp-Mom) in Inches [in] ","RSI-modified (Imp-Mom) [m/s] ","Contraction Time [ms] ","Peak Power / BM [W/kg] ","Eccentric Peak Velocity [m/s] ","Eccentric Mean Braking Force [N] ","Eccentric Braking RFD / BM [N/s/kg] ","Force at Zero Velocity [N] ","Countermovement Depth [cm] ","Concentric Mean Force / BM [N/kg] ","Eccentric Braking Impulse [N s] ","Concentric Impulse [N s] ","Concentric Impulse % (Asym) (%)","Eccentric Braking Impulse % (Asym) (%)","Landing Impulse % (Asym) (%)","Concentric Peak Velocity [m/s] ","Velocity at Peak Power [m/s] ","Force at Peak Power [N] "
"Grant Buckey","","CMJ","01/28/2026","9:16 AM","121.12","3","PT Testing Session","0","","13.8","0.51","714","50.2","-1.27","1593","99","3296","-32.3","20.6","104.1","317","16.9 L","10.5 L","38.1 L","2.77","2.47","2571"
"Tyler Partlow","","CMJ","01/28/2026","8:46 AM","107.19","3","PT Testing Session","0","","13.7","0.41","942","50.3","-1.14","1311","59","2283","-37.8","18.5","89.2","280","11.8 L","6.3 R","21.5 R","2.78","2.51","2287"
"Jaylan Jeffers","","CMJ","01/28/2026","8:03 AM","144.69","3","PT Testing Session","0","","11.8","0.39","860","48.3","-1.24","1828","60","3002","-29.8","18.5","128.8","351.4","20.7 R","14.4 L","8.6 L","2.6","2.34","3089"
"Anthony Woods","","CMJ","01/28/2026","7:57 AM","87.71","3","PT Testing Session-PLYO PUSH UP","0","","0","0","590","8.1","0","879.3","0","879","0","9.6","0","-9","7 R","0 ","96.8 L","0.72","0.63","1131"
"KD Arnold","","CMJ","01/28/2026","7:15 AM","138.43","3","PT Testing Session","0","","13.9","0.49","736","49.9","-1.22","1687","71","3399","-27.8","20.3","94.7","363.7","12.4 R","21.1 R","28.3 R","2.76","2.44","3011"
"Jalen Woods","","CMJ","01/23/2026","10:11 AM","101.11134590595564","2","","0","101.1","16.1","0.57","736","57.3","-1.42","1347","104","2766","-31.8","20.8","87.5","284.1","6.6 R","17.5 L","33.2 L","2.95","2.64","2193"
"Amier Washington","","CMJ","01/23/2026","10:10 AM","124.78090152576951","2","","0","124.8","16.2","0.72","602","65.3","-1.37","1770","137","3701","-24.4","24.9","108.2","353.9","5.1 L","23.1 L","34.1 R","2.92","2.44","3336"
"Marcus Almada","","CMJ","01/23/2026","10:06 AM","124.37139644341488","2","","0","124.4","14.6","0.5","938","54.2","-0.94","1524","84","3205","-31.2","20.3","84.4","335.7","13.1 R","8.5 R","36.6 L","2.87","2.54","2719"
"JD Rayner","","CMJ","01/23/2026","10:06 AM","134.09863087669197","2","","0","134.1","15.8","0.52","1054","54.2","-1.29","1660","85","3503","-34.6","19.8","100.3","366","3.1 L","10.5 L","38.9 L","2.95","2.64","2672"
"Matthew Muasau","","CMJ","01/23/2026","10:05 AM","119.18691562460997","2","","0","119.2","16.6","0.65","974","63.2","-1.44","1648","99","2905","-30.3","23","148","325.4","11.1 R","11.6 L","26.5 R","2.98","2.59","2775"
